unit,source,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,SRV,C53,CZ	: 	: 	90.90 	: 	: 	: 	: 	87.20 	: 	: 	: 	: 	: 	66.60 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,DE	: 	: 	77.90 	: 	: 	: 	: 	80.30 	: 	: 	: 	: 	78.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.90 	: 	: 	: 	: 	69.70 
PC,SRV,C53,EE	: 	: 	58.70 	: 	: 	: 	: 	57.70 	: 	: 	: 	: 	: 	: 	: 	29.90 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,EL	: 	: 	72.89 	: 	: 	: 	: 	75.52 	: 	: 	: 	: 	70.03 b	: 	: 	59.40 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,ES	: 	68.37 	: 	: 	69.96 	: 	: 	68.66 	: 	: 	67.70 	: 	68.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,FR	: 	: 	76.30 	: 	: 	: 	: 	75.39 	: 	73.59 	: 	71.13 	: 	72.36 	: 	75.36 	: 	76.30 	: 	: 	: 	: 
PC,SRV,C53,HR	: 	: 	: 	: 	: 	: 	: 	77.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,HU	: 	: 	74.00 	: 	: 	: 	: 	70.60 	: 	: 	: 	: 	63.50 	: 	: 	: 	: 	: 	63.20 	: 	: 	: 
PC,SRV,C53,IE	: 	: 	: 	: 	: 	: 	78.02 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,IT	: 	77.30 	81.00 	79.80 	78.90 	80.20 	79.80 	78.10 	80.00 	78.90 	77.80 	77.80 	75.20 	77.00 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,LU	: 	: 	83.60 	: 	: 	: 	: 	83.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,MT	: 	: 	: 	: 	: 	: 	: 	61.60 	: 	: 	: 	: 	: 	56.40 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,NL	: 	: 	60.00 	59.30 	61.80 	60.80 	63.70 	62.90 b	65.10 	64.90 	64.80 	65.70 b	68.40 	68.80 	66.80 	66.40 	67.00 	66.80 	64.30 	64.50 	66.90 	63.80 
PC,SRV,C53,PL	: 	: 	72.90 	: 	: 	: 	: 	71.70 	: 	: 	: 	: 	69.10 	: 	: 	: 	: 	49.00 	: 	: 	: 	: 
PC,SRV,C53,PT	: 	: 	65.50 	: 	: 	: 	: 	70.70 	: 	: 	: 	: 	: 	: 	: 	: 	54.80 	: 	: 	: 	: 	: 
PC,SRV,C53,RO	: 	: 	38.90 	: 	: 	: 	: 	26.90 	: 	: 	: 	: 	: 	14.60 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,RS	: 	: 	67.40 d	: 	: 	: 	: 	: 	59.70 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,SI	: 	: 	80.00 d	: 	: 	: 	: 	70.70 d	: 	: 	: 	: 	: 	: 	79.80 d	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,SK	: 	: 	72.00 	: 	: 	: 	: 	69.00 	: 	: 	: 	: 	62.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,TR	: 	: 	31.30 	: 	: 	26.30 	: 	23.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C53,UK	: 	: 	: 	: 	: 	: 	: 	62.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
